gesture_id,tap,app_name,origin_first_finger,pressure_first_finger,time_stamp_first,size_first_finger,x_coordinate_first_finger,y_coordinate_first_finger,distance,iskid
166,Unidentified,com.mehequanna.gestureplayground,False,22,1502053448257,1.0,921,2525,0.0,1
138,Unidentified,com.google.android.apps.photos,True,42,1504720253637,4.0,925,1715,0.0,0
246,Swipe,com.google.android.apps.photos,True,52,1499818443836,4.0,400,1343,0.0,1
69,Tap,com.mehequanna.gestureplayground,False,52,1499818079970,4.0,183,1531,0.0,1
207,Tap,com.mehequanna.gestureplayground,False,28,1504795051966,3.0,266,1388,0.0,1
88,Tap,,False,40,1504808019430,3.0,595,1573,0.0,0
198,Swipe,com.google.android.apps.photos,True,29,1504200637380,3.0,411,1744,0.0,0
162,Swipe,,True,42,1504537350590,4.0,1290,1753,0.0,0
196,Tap,,False,84,1499371470352,8.0,213,2108,0.0,0
57,Unidentified,,False,33,1504193653795,2.0,918,332,0.0,1
206,Swipe,com.google.android.apps.photos,True,38,1504195529934,3.0,924,1907,0.0,1
396,Swipe,,True,58,1504196710972,5.0,894,1544,0.0,1
372,Unidentified,,False,50,1504208693154,6.0,1032,2122,0.0,1
222,Tap,com.google.android.apps.photos,True,49,1504537469723,5.0,528,1695,0.0,0
466,Swipe,,True,33,1504800091326,2.0,1244,1259,0.0,1
66,Tap,,False,87,1504200392821,8.0,625,1533,0.0,0
318,Swipe,com.google.android.apps.photos,True,20,1499818615700,1.0,1022,1538,0.0,1
4,Tap,com.mehequanna.gestureplayground,False,64,1504193566150,5.0,409,496,0.0,1
282,Tap,com.mehequanna.gestureplayground,False,60,1501271001218,5.0,263,2148,0.0,0
212,Unidentified,com.google.android.apps.photos,True,38,1499818397834,4.0,241,1682,0.0,1
11,Swipe,com.google.android.apps.photos,True,45,1499124473422,4.0,354,1550,0.0,1
224,Tap,,False,65,1499644563001,6.0,267,2203,0.0,0
269,Unidentified,com.google.android.apps.photos,True,44,1504203257396,4.0,1157,1484,0.0,0
74,Swipe,,False,109,1504201751532,14.0,630,1353,0.0,0
124,Tap,com.google.android.apps.photos,True,30,1504193803423,2.0,168,685,0.0,1
151,Unidentified,com.google.android.apps.photos,True,50,1504208435889,4.0,656,1520,0.0,1
268,Scroll,,True,34,1504197256630,4.0,796,1847,0.0,0
93,Swipe,com.google.android.apps.photos,True,65,1499124592935,6.0,1001,1527,0.0,1
291,Swipe,com.google.android.apps.photos,True,50,1504190310391,4.0,1271,1333,0.0,1
154,Tap,,False,38,1501451415974,4.0,104,244,0.0,1
440,Swipe,,True,24,1504801508288,2.0,1157,2168,0.0,1
105,Unidentified,,False,37,1502053406896,4.0,1051,149,0.0,1
125,Swipe,,False,25,1504200504002,2.0,36,2197,0.0,0
50,Swipe,com.google.android.apps.photos,True,33,1504202675921,3.0,1122,1574,0.0,1
193,Tap,com.google.android.apps.photos,True,33,1504199410297,2.0,216,1158,0.0,0
179,Swipe,com.google.android.apps.photos,True,52,1501962487432,5.0,1180,1244,0.0,0
225,Swipe,com.google.android.apps.photos,True,44,1504201925063,3.0,1039,1482,0.0,0
227,Unidentified,com.google.android.apps.photos,True,29,1504203202473,2.0,1148,1497,0.0,0
252,Tap,com.google.android.youtube,True,25,1500676649649,1.0,594,755,0.0,1
493,Swipe,,True,34,1504800129744,4.0,1197,709,0.0,1
4,Tap,com.mehequanna.gestureplayground,False,33,1504541820787,4.0,421,558,0.0,1
283,Tap,com.google.android.googlequicksearchbox,True,33,1504200823381,3.0,737,2259,0.0,0
98,Tap,com.google.android.apps.photos,True,65,1499124596544,7.0,1290,909,0.0,1
92,Unidentified,,False,61,1504799115339,5.0,97,110,0.0,1
2,Tap,com.google.android.googlequicksearchbox,True,30,1504723208474,3.0,779,2223,0.0,0
106,Swipe,com.google.android.apps.photos,True,29,1500219871515,2.0,704,1711,0.0,0
107,Swipe,com.google.android.apps.photos,True,46,1504808091402,4.0,1240,1309,0.0,0
273,Swipe,com.google.android.apps.photos,True,53,1504799457631,5.0,912,1390,0.0,1
341,Unidentified,com.google.android.apps.photos,True,44,1504198178933,4.0,406,1523,0.0,1
185,Swipe,com.google.android.apps.photos,True,66,1499125328813,6.0,744,1683,0.0,1
37,Tap,,False,39,1501194998648,4.0,135,1515,0.0,0
201,Swipe,com.google.android.apps.photos,True,32,1504197173882,3.0,266,1380,0.0,0
373,Swipe,,False,44,1501271143552,4.0,85,1978,0.0,0
20,Swipe,,True,60,1504720059649,7.0,1077,1700,0.0,0
72,Tap,,False,53,1504537229934,6.0,586,1551,0.0,0
236,Tap,,False,62,1500219136669,6.0,606,1093,0.0,1
84,Swipe,com.google.android.apps.photos,True,52,1499124584275,6.0,843,1654,0.0,1
206,Tap,,False,68,1499644548497,7.0,207,2091,0.0,0
19,Tap,,False,28,1504189798689,3.0,659,1532,0.0,1
254,Tap,com.google.android.youtube,True,29,1504195629558,4.0,1190,1676,0.0,1
206,Unidentified,,True,45,1499645492449,5.0,1080,1033,0.0,1
10,Tap,,False,26,1504191092584,3.0,247,2172,0.0,1
335,Unidentified,com.google.android.apps.photos,True,37,1504801076153,4.0,1129,1522,0.0,1
336,Swipe,com.google.android.apps.photos,True,42,1504198174334,4.0,522,1506,0.0,1
299,Tap,,True,48,1504195777851,4.0,238,542,0.0,1
191,Swipe,com.google.android.apps.photos,True,68,1504204268372,5.0,962,1289,0.0,0
262,Swipe,com.google.android.apps.photos,True,57,1499818464203,6.0,981,1647,0.0,1
198,Swipe,com.google.android.apps.photos,True,57,1504195518406,6.0,946,1656,0.0,1
295,Tap,com.google.android.youtube,True,27,1504195772068,2.0,854,2082,0.0,1
373,Tap,com.google.android.youtube,True,54,1504193075332,6.0,553,357,0.0,1
299,Tap,,False,65,1504202960882,6.0,256,447,0.0,1
83,Unidentified,,False,41,1501195170140,3.0,411,1153,0.0,0
70,Swipe,com.google.android.apps.photos,False,41,1501451187503,4.0,388,1614,0.0,1
256,Swipe,com.google.android.apps.photos,True,23,1504202896656,2.0,1183,1372,0.0,1
161,Swipe,com.google.android.apps.photos,True,51,1504190074482,5.0,1251,1322,0.0,1
347,Swipe,com.google.android.apps.photos,True,51,1504801093878,4.0,412,1823,0.0,1
255,Swipe,com.google.android.apps.photos,True,57,1504200743628,6.0,1015,1846,0.0,0
182,Tap,,False,42,1504800711628,4.0,629,1217,0.0,1
87,Swipe,com.mehequanna.gestureplayground,False,47,1504192573124,4.0,653,1156,0.0,1
155,Swipe,com.touchlogger,True,57,1499645392992,4.0,247,1688,0.0,1
304,Scroll,,True,27,1504197282301,3.0,889,1983,0.0,0
135,Unidentified,com.google.android.apps.photos,True,27,1500219916475,2.0,1157,1738,0.0,0
64,Swipe,,False,51,1504196075911,5.0,665,1313,0.0,1
224,Swipe,com.google.android.apps.photos,True,74,1501270896763,8.0,661,1869,0.0,0
125,Tap,,False,32,1504795005710,2.0,101,1648,0.0,1
164,Swipe,com.google.android.apps.photos,True,55,1499123964398,5.0,701,1625,0.0,1
321,Swipe,com.google.android.apps.photos,True,39,1504801038357,3.0,675,1817,0.0,1
200,Swipe,com.google.android.apps.photos,True,35,1499125350503,3.0,1178,1568,0.0,1
150,Swipe,com.google.android.apps.photos,True,31,1501962418902,2.0,1243,1473,0.0,0
17,Tap,,False,38,1504799032519,2.0,236,1232,0.0,1
469,Tap,com.google.android.youtube,False,30,1504208778341,3.0,145,2465,0.0,1
417,Tap,,False,17,1504800006977,1.0,533,2544,0.0,1
239,Swipe,com.google.android.apps.photos,True,58,1504196347421,6.0,684,1783,0.0,1
143,Swipe,com.google.android.apps.photos,True,30,1504199292783,2.0,1273,1974,0.0,0
121,Swipe,,False,53,1504200498820,4.0,1029,296,0.0,0
18,Tap,,False,30,1504191116275,3.0,630,1458,0.0,1
100,Tap,com.google.android.apps.photos,True,113,1501962283974,14.0,165,632,0.0,0
215,Tap,com.mehequanna.gestureplayground,False,46,1501451516381,4.0,221,1540,0.0,1
213,Unidentified,com.google.android.apps.photos,True,49,1499818398213,4.0,467,1479,0.0,1
131,Swipe,,True,25,1504720245108,1.0,606,1783,0.0,0
183,Swipe,com.google.android.apps.photos,True,72,1504205399073,8.0,833,1824,0.0,0
509,Swipe,,True,79,1504198546491,7.0,936,358,0.0,1
281,Unidentified,,True,24,1504195764225,2.0,298,1958,0.0,1
271,Swipe,,False,28,1499125485006,1.0,1083,276,0.0,1
118,Swipe,com.google.android.apps.photos,True,51,1499371345511,5.0,473,1807,0.0,0
80,Swipe,,False,35,1504191223215,4.0,154,260,0.0,1
143,Tap,com.mehequanna.gestureplayground,False,69,1500219008112,6.0,187,821,0.0,1
158,Swipe,com.google.android.apps.photos,True,45,1504191330081,4.0,1176,1627,0.0,1
12,Tap,com.mehequanna.gestureplayground,False,36,1504201671846,3.0,339,1369,0.0,0
94,Swipe,com.google.android.apps.photos,True,30,1507565779164,2.0,1238,1624,0.0,0
107,Swipe,com.google.android.apps.photos,True,84,1504208357486,9.0,935,1239,0.0,1
65,Swipe,,False,62,1504192533293,7.0,611,1181,0.0,1
260,Swipe,com.google.android.apps.photos,True,60,1499818458615,5.0,117,1472,0.0,1
268,Scroll,com.google.android.youtube,True,38,1499371603799,4.0,990,2010,0.0,0
232,Unidentified,com.google.android.apps.photos,True,65,1504191428988,6.0,586,1764,0.0,1
84,Swipe,,False,33,1504202928761,4.0,977,2250,0.0,0
34,Swipe,com.google.android.apps.photos,True,29,1499364803126,2.0,822,1880,0.0,0
156,Swipe,,False,31,1504796452835,4.0,637,1192,0.0,1
105,Tap,com.mehequanna.gestureplayground,False,27,1504541929202,2.0,182,1513,0.0,1
